Feature,Importance
Volatility_30,0.04340417583287319
Volume_MA_20,0.0333706493638522
Volatility_10,0.0327287226530061
Daily_Range,0.03203225600611001
Volume_Ratio,0.029381671466851195
Gap,0.028879083463932247
Volume_Rate_Change,0.027498045802655816
Distance_to_High,0.02729060819412462
Volume_SMA_20,0.026798745960302697
Volume_SMA_10,0.02628549504220355
Price_to_SMA50,0.02519466669721139
Close_Position,0.02466462083151665
ROC_10,0.0246190975295934
Daily_Return,0.024542203441131623
BB_Width,0.02433679280737105
SMA_Ratio_20_50,0.024251481038807973
Stoch_D,0.023989523346206503
Stoch_K,0.023800887402935286
OBV,0.023612094623683987
RSI_14,0.023535794449100682
ROC_5,0.02323667762111746
Price_to_SMA20,0.022755084509245807
ROC_20,0.022362457863857314
SMA_Ratio_5_20,0.022167948586671787
Price_Range,0.02208320226384792
ATR,0.020859083362058065
BB_Position,0.020684102137535382
Distance_to_Low,0.02033467848989827
MACD_Signal,0.020290620807080342
MACD,0.019821605867027314
VPT,0.01924176649721897
MACD_Histogram,0.018805174311339712
PVT,0.01849389610029685
SMA_200,0.01720275881666902
SMA_50,0.01467949377226126
EMA_50,0.013789698765340728
BB_Middle,0.013697342337191321
SMA_5,0.013578156525104397
BB_Lower,0.013404140914250615
EMA_26,0.013403744844190124
SMA_20,0.012867383347601482
BB_Upper,0.012641395686819039
EMA_12,0.011731485386564537
SMA_10,0.011232824773249921
Low_20,0.009640988335484097
High_20,0.009373087225937382
Consecutive_Days,0.009364887515911684
Up_Down,0.0020396973827590155
